model,feature_set,n_features,n_ensemble_members,val_NLL_single_member,params
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,ACQUA,50,5,-0.1264,"{""batch_size"": 16, ""dropout"": 0.07468443779452436, ""event_weight"": 1.0242986538400785, ""hidden"": [64, 32], ""lr"": 0.0025226441314045553, ""warmup_membri"": [{""epoca_migliore_fase1"": 2, ""epoca_migliore_fase2"": 155, ""epoche_fase1"": 32, ""epoche_fase2"": 185, ""val_mse_passaggio"": 0.43005, ""val_nll_finale"": -0.12643, ""val_nll_inizio_fase2"": 0.1812}, {""epoca_migliore_fase1"": 13, ""epoca_migliore_fase2"": 79, ""epoche_fase1"": 43, ""epoche_fase2"": 109, ""val_mse_passaggio"": 0.44573, ""val_nll_finale"": -0.05208, ""val_nll_inizio_fase2"": 0.15318}, {""epoca_migliore_fase1"": 5, ""epoca_migliore_fase2"": 132, ""epoche_fase1"": 35, ""epoche_fase2"": 162, ""val_mse_passaggio"": 0.44858, ""val_nll_finale"": -0.05126, ""val_nll_inizio_fase2"": 0.17015}, {""epoca_migliore_fase1"": 1, ""epoca_migliore_fase2"": 85, ""epoche_fase1"": 31, ""epoche_fase2"": 115, ""val_mse_passaggio"": 0.45056, ""val_nll_finale"": -0.06058, ""val_nll_inizio_fase2"": 0.20519}, {""epoca_migliore_fase1"": 1, ""epoca_migliore_fase2"": 71, ""epoche_fase1"": 31, ""epoche_fase2"": 101, ""val_mse_passaggio"": 0.43933, ""val_nll_finale"": -0.05266, ""val_nll_inizio_fase2"": 0.20021}]}"
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,TERRA,9,5,-0.174,"{""batch_size"": 32, ""dropout"": 0.38088508928606807, ""event_weight"": 2.6989991220214886, ""hidden"": [256, 128, 64, 32], ""lr"": 0.0015788326210054691, ""warmup_membri"": [{""epoca_migliore_fase1"": 130, ""epoca_migliore_fase2"": 60, ""epoche_fase1"": 160, ""epoche_fase2"": 90, ""val_mse_passaggio"": 0.31554, ""val_nll_finale"": -0.17403, ""val_nll_inizio_fase2"": -0.03484}, {""epoca_migliore_fase1"": 143, ""epoca_migliore_fase2"": 0, ""epoche_fase1"": 173, ""epoche_fase2"": 30, ""val_mse_passaggio"": 0.29723, ""val_nll_finale"": -0.05584, ""val_nll_inizio_fase2"": -0.05584}, {""epoca_migliore_fase1"": 58, ""epoca_migliore_fase2"": 56, ""epoche_fase1"": 88, ""epoche_fase2"": 86, ""val_mse_passaggio"": 0.30904, ""val_nll_finale"": -0.13432, ""val_nll_inizio_fase2"": 0.01554}, {""epoca_migliore_fase1"": 29, ""epoca_migliore_fase2"": 83, ""epoche_fase1"": 59, ""epoche_fase2"": 113, ""val_mse_passaggio"": 0.39448, ""val_nll_finale"": -0.12653, ""val_nll_inizio_fase2"": 0.11233}, {""epoca_migliore_fase1"": 98, ""epoca_migliore_fase2"": 83, ""epoche_fase1"": 128, ""epoche_fase2"": 113, ""val_mse_passaggio"": 0.30595, ""val_nll_finale"": -0.15392, ""val_nll_inizio_fase2"": -0.02299}]}"
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,METEO,135,5,-0.0786,"{""batch_size"": 32, ""dropout"": 0.12261624644583956, ""event_weight"": 7.182638722795795, ""hidden"": [64, 32], ""lr"": 0.0018094522243063654, ""warmup_membri"": [{""epoca_migliore_fase1"": 14, ""epoca_migliore_fase2"": 83, ""epoche_fase1"": 44, ""epoche_fase2"": 113, ""val_mse_passaggio"": 0.44657, ""val_nll_finale"": -0.07862, ""val_nll_inizio_fase2"": 0.15111}, {""epoca_migliore_fase1"": 6, ""epoca_migliore_fase2"": 26, ""epoche_fase1"": 36, ""epoche_fase2"": 56, ""val_mse_passaggio"": 0.42905, ""val_nll_finale"": 0.00926, ""val_nll_inizio_fase2"": 0.16162}, {""epoca_migliore_fase1"": 1, ""epoca_migliore_fase2"": 124, ""epoche_fase1"": 31, ""epoche_fase2"": 154, ""val_mse_passaggio"": 0.43687, ""val_nll_finale"": -0.05309, ""val_nll_inizio_fase2"": 0.19978}, {""epoca_migliore_fase1"": 5, ""epoca_migliore_fase2"": 24, ""epoche_fase1"": 35, ""epoche_fase2"": 54, ""val_mse_passaggio"": 0.44232, ""val_nll_finale"": -0.00086, ""val_nll_inizio_fase2"": 0.16883}, {""epoca_migliore_fase1"": 2, ""epoca_migliore_fase2"": 69, ""epoche_fase1"": 32, ""epoche_fase2"": 99, ""val_mse_passaggio"": 0.44526, ""val_nll_finale"": -0.01944, ""val_nll_inizio_fase2"": 0.19057}]}"
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,TERRA_ACQUA,59,5,-0.2991,"{""batch_size"": 128, ""dropout"": 0.33295392664261064, ""event_weight"": 1.5114098330972379, ""hidden"": [256, 128, 64, 32], ""lr"": 0.0018639684840706537, ""warmup_membri"": [{""epoca_migliore_fase1"": 17, ""epoca_migliore_fase2"": 111, ""epoche_fase1"": 47, ""epoche_fase2"": 141, ""val_mse_passaggio"": 0.41065, ""val_nll_finale"": -0.29907, ""val_nll_inizio_fase2"": 0.09525}, {""epoca_migliore_fase1"": 8, ""epoca_migliore_fase2"": 120, ""epoche_fase1"": 38, ""epoche_fase2"": 150, ""val_mse_passaggio"": 0.4159, ""val_nll_finale"": -0.26199, ""val_nll_inizio_fase2"": 0.14109}, {""epoca_migliore_fase1"": 128, ""epoca_migliore_fase2"": 77, ""epoche_fase1"": 158, ""epoche_fase2"": 107, ""val_mse_passaggio"": 0.36979, ""val_nll_finale"": -0.20847, ""val_nll_inizio_fase2"": 0.00216}, {""epoca_migliore_fase1"": 25, ""epoca_migliore_fase2"": 92, ""epoche_fase1"": 55, ""epoche_fase2"": 122, ""val_mse_passaggio"": 0.39467, ""val_nll_finale"": -0.21057, ""val_nll_inizio_fase2"": 0.07221}, {""epoca_migliore_fase1"": 9, ""epoca_migliore_fase2"": 102, ""epoche_fase1"": 39, ""epoche_fase2"": 132, ""val_mse_passaggio"": 0.41609, ""val_nll_finale"": -0.26215, ""val_nll_inizio_fase2"": 0.14059}]}"
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,TERRA_METEO,144,5,-0.111,"{""batch_size"": 16, ""dropout"": 0.2860495858137897, ""event_weight"": 2.4233674656907516, ""hidden"": [128, 64, 32], ""lr"": 0.001467081727305408, ""warmup_membri"": [{""epoca_migliore_fase1"": 2, ""epoca_migliore_fase2"": 209, ""epoche_fase1"": 32, ""epoche_fase2"": 239, ""val_mse_passaggio"": 0.43815, ""val_nll_finale"": -0.11097, ""val_nll_inizio_fase2"": 0.18083}, {""epoca_migliore_fase1"": 12, ""epoca_migliore_fase2"": 118, ""epoche_fase1"": 42, ""epoche_fase2"": 148, ""val_mse_passaggio"": 0.43678, ""val_nll_finale"": -0.06724, ""val_nll_inizio_fase2"": 0.13897}, {""epoca_migliore_fase1"": 1, ""epoca_migliore_fase2"": 78, ""epoche_fase1"": 31, ""epoche_fase2"": 108, ""val_mse_passaggio"": 0.44767, ""val_nll_finale"": -0.03364, ""val_nll_inizio_fase2"": 0.20132}, {""epoca_migliore_fase1"": 2, ""epoca_migliore_fase2"": 112, ""epoche_fase1"": 32, ""epoche_fase2"": 142, ""val_mse_passaggio"": 0.44301, ""val_nll_finale"": -0.05083, ""val_nll_inizio_fase2"": 0.18451}, {""epoca_migliore_fase1"": 2, ""epoca_migliore_fase2"": 66, ""epoche_fase1"": 32, ""epoche_fase2"": 96, ""val_mse_passaggio"": 0.44608, ""val_nll_finale"": -0.06055, ""val_nll_inizio_fase2"": 0.19701}]}"
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,ACQUA_METEO,185,5,-0.1172,"{""batch_size"": 128, ""dropout"": 0.2825835102081311, ""event_weight"": 8.207466016996792, ""hidden"": [64, 32], ""lr"": 0.003783196709451694, ""warmup_membri"": [{""epoca_migliore_fase1"": 6, ""epoca_migliore_fase2"": 86, ""epoche_fase1"": 36, ""epoche_fase2"": 116, ""val_mse_passaggio"": 0.41777, ""val_nll_finale"": -0.11717, ""val_nll_inizio_fase2"": 0.14998}, {""epoca_migliore_fase1"": 23, ""epoca_migliore_fase2"": 58, ""epoche_fase1"": 53, ""epoche_fase2"": 88, ""val_mse_passaggio"": 0.40567, ""val_nll_finale"": -0.09771, ""val_nll_inizio_fase2"": 0.10882}, {""epoca_migliore_fase1"": 26, ""epoca_migliore_fase2"": 108, ""epoche_fase1"": 56, ""epoche_fase2"": 138, ""val_mse_passaggio"": 0.41447, ""val_nll_finale"": -0.06547, ""val_nll_inizio_fase2"": 0.11341}, {""epoca_migliore_fase1"": 20, ""epoca_migliore_fase2"": 76, ""epoche_fase1"": 50, ""epoche_fase2"": 106, ""val_mse_passaggio"": 0.40547, ""val_nll_finale"": -0.10862, ""val_nll_inizio_fase2"": 0.11185}, {""epoca_migliore_fase1"": 18, ""epoca_migliore_fase2"": 33, ""epoche_fase1"": 48, ""epoche_fase2"": 63, ""val_mse_passaggio"": 0.41518, ""val_nll_finale"": -0.05997, ""val_nll_inizio_fase2"": 0.12213}]}"
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,TOTALE,215,5,-0.1603,"{""batch_size"": 32, ""dropout"": 0.2852396357595437, ""event_weight"": 2.886926067896555, ""hidden"": [32], ""lr"": 0.0017143733016354524, ""warmup_membri"": [{""epoca_migliore_fase1"": 2, ""epoca_migliore_fase2"": 84, ""epoche_fase1"": 32, ""epoche_fase2"": 114, ""val_mse_passaggio"": 0.4662, ""val_nll_finale"": -0.16032, ""val_nll_inizio_fase2"": 0.19192}, {""epoca_migliore_fase1"": 9, ""epoca_migliore_fase2"": 71, ""epoche_fase1"": 39, ""epoche_fase2"": 101, ""val_mse_passaggio"": 0.46165, ""val_nll_finale"": -0.12476, ""val_nll_inizio_fase2"": 0.15237}, {""epoca_migliore_fase1"": 1, ""epoca_migliore_fase2"": 40, ""epoche_fase1"": 31, ""epoche_fase2"": 70, ""val_mse_passaggio"": 0.43753, ""val_nll_finale"": -0.08235, ""val_nll_inizio_fase2"": 0.18724}, {""epoca_migliore_fase1"": 2, ""epoca_migliore_fase2"": 67, ""epoche_fase1"": 32, ""epoche_fase2"": 97, ""val_mse_passaggio"": 0.466, ""val_nll_finale"": -0.07795, ""val_nll_inizio_fase2"": 0.19114}, {""epoca_migliore_fase1"": 2, ""epoca_migliore_fase2"": 53, ""epoche_fase1"": 32, ""epoche_fase2"": 83, ""val_mse_passaggio"": 0.44015, ""val_nll_finale"": -0.08473, ""val_nll_inizio_fase2"": 0.17372}]}"
