device_name,date,irrigation_mm,fonte
EM-500-1,2026-06-12,30.0,ricostruita
EM-500-10,2025-06-30,40.0,log_originale
EM-500-10,2025-07-15,40.0,log_originale
EM-500-10,2025-10-20,35.0,log_originale
EM-500-11,2025-06-30,40.0,log_originale
EM-500-11,2025-07-15,40.0,log_originale
EM-500-11,2025-10-20,35.0,log_originale
EM-500-12,2025-06-10,15.0,log_originale
EM-500-12,2025-06-24,20.0,log_originale
EM-500-12,2025-07-16,20.0,log_originale
EM-500-12,2025-08-12,20.0,log_originale
EM-500-14,2026-06-12,15.0,ricostruita
EM-500-15,2025-06-15,40.0,log_originale
EM-500-15,2025-07-15,40.0,log_originale
EM-500-15,2026-06-12,25.0,ricostruita
EM-500-16,2025-06-15,40.0,log_originale
EM-500-16,2025-07-15,40.0,log_originale
EM-500-16,2026-06-12,15.0,ricostruita
EM-500-16,2026-06-27,15.0,ricostruita
EM-500-18,2025-06-09,30.0,log_originale
EM-500-18,2025-06-23,30.0,log_originale
EM-500-18,2025-07-21,30.0,log_originale
EM-500-2,2026-06-12,15.0,ricostruita
EM-500-2,2026-06-26,20.0,ricostruita
EM-500-20,2024-06-26,50.0,log_originale
EM-500-20,2025-06-18,40.0,log_originale
EM-500-20,2025-07-13,45.0,log_originale
EM-500-3,2025-06-12,20.0,log_originale
EM-500-3,2025-07-17,25.0,log_originale
EM-500-4,2025-06-25,25.0,log_originale
EM-500-4,2025-07-02,25.0,log_originale
EM-500-4,2025-07-19,20.0,ricostruita
EM-500-8,2025-06-20,35.0,log_originale
EM-500-8,2025-07-02,40.0,log_originale
EM-500-9,2025-06-20,35.0,log_originale
EM-500-9,2025-07-02,40.0,log_originale
EM-500-9,2025-07-20,35.0,log_originale
