model,feature_set,n_features,val_NLL,params
MLP-Gaussian-MCDropout-Residual-Warmup-Optuna,ACQUA,50,-0.1264,"{""batch_size"": 16, ""dropout"": 0.07468443779452436, ""event_weight"": 1.0242986538400785, ""hidden"": [64, 32], ""lr"": 0.0025226441314045553, ""warmup"": {""epoca_migliore_fase1"": 2, ""epoca_migliore_fase2"": 155, ""epoche_fase1"": 32, ""epoche_fase2"": 185, ""val_mse_passaggio"": 0.43005, ""val_nll_finale"": -0.12643, ""val_nll_inizio_fase2"": 0.1812}}"
MLP-Gaussian-MCDropout-Residual-Warmup-Optuna,TERRA,9,-0.174,"{""batch_size"": 32, ""dropout"": 0.38088508928606807, ""event_weight"": 2.6989991220214886, ""hidden"": [256, 128, 64, 32], ""lr"": 0.0015788326210054691, ""warmup"": {""epoca_migliore_fase1"": 130, ""epoca_migliore_fase2"": 60, ""epoche_fase1"": 160, ""epoche_fase2"": 90, ""val_mse_passaggio"": 0.31554, ""val_nll_finale"": -0.17403, ""val_nll_inizio_fase2"": -0.03484}}"
MLP-Gaussian-MCDropout-Residual-Warmup-Optuna,METEO,135,-0.0786,"{""batch_size"": 32, ""dropout"": 0.12261624644583956, ""event_weight"": 7.182638722795795, ""hidden"": [64, 32], ""lr"": 0.0018094522243063654, ""warmup"": {""epoca_migliore_fase1"": 14, ""epoca_migliore_fase2"": 83, ""epoche_fase1"": 44, ""epoche_fase2"": 113, ""val_mse_passaggio"": 0.44657, ""val_nll_finale"": -0.07862, ""val_nll_inizio_fase2"": 0.15111}}"
MLP-Gaussian-MCDropout-Residual-Warmup-Optuna,TERRA_ACQUA,59,-0.2991,"{""batch_size"": 128, ""dropout"": 0.33295392664261064, ""event_weight"": 1.5114098330972379, ""hidden"": [256, 128, 64, 32], ""lr"": 0.0018639684840706537, ""warmup"": {""epoca_migliore_fase1"": 17, ""epoca_migliore_fase2"": 111, ""epoche_fase1"": 47, ""epoche_fase2"": 141, ""val_mse_passaggio"": 0.41065, ""val_nll_finale"": -0.29907, ""val_nll_inizio_fase2"": 0.09525}}"
MLP-Gaussian-MCDropout-Residual-Warmup-Optuna,TERRA_METEO,144,-0.111,"{""batch_size"": 16, ""dropout"": 0.2860495858137897, ""event_weight"": 2.4233674656907516, ""hidden"": [128, 64, 32], ""lr"": 0.001467081727305408, ""warmup"": {""epoca_migliore_fase1"": 2, ""epoca_migliore_fase2"": 209, ""epoche_fase1"": 32, ""epoche_fase2"": 239, ""val_mse_passaggio"": 0.43815, ""val_nll_finale"": -0.11097, ""val_nll_inizio_fase2"": 0.18083}}"
MLP-Gaussian-MCDropout-Residual-Warmup-Optuna,ACQUA_METEO,185,-0.1172,"{""batch_size"": 128, ""dropout"": 0.2825835102081311, ""event_weight"": 8.207466016996792, ""hidden"": [64, 32], ""lr"": 0.003783196709451694, ""warmup"": {""epoca_migliore_fase1"": 6, ""epoca_migliore_fase2"": 86, ""epoche_fase1"": 36, ""epoche_fase2"": 116, ""val_mse_passaggio"": 0.41777, ""val_nll_finale"": -0.11717, ""val_nll_inizio_fase2"": 0.14998}}"
MLP-Gaussian-MCDropout-Residual-Warmup-Optuna,TOTALE,215,-0.1603,"{""batch_size"": 32, ""dropout"": 0.2852396357595437, ""event_weight"": 2.886926067896555, ""hidden"": [32], ""lr"": 0.0017143733016354524, ""warmup"": {""epoca_migliore_fase1"": 2, ""epoca_migliore_fase2"": 84, ""epoche_fase1"": 32, ""epoche_fase2"": 114, ""val_mse_passaggio"": 0.4662, ""val_nll_finale"": -0.16032, ""val_nll_inizio_fase2"": 0.19192}}"
