parametro,media,std,mediana,p5,p95,riferimento
mm_to_pct,0.09179312032916956,2.7755575615628914e-17,0.09179312032916959,0.09179312032916959,0.09179312032916959,0.09179312032916959
alpha_rain,0.8169811953178036,0.14064898377002655,0.845367218974976,0.5662196714095038,0.9870303116666076,0.5
alpha_irr,0.32520073197570853,0.22545911797475032,0.2762699105929509,0.03331288597552923,0.7902701784120653,0.7
drain_coeff,0.0065558580102772525,0.004651914462328051,0.00571756546708378,0.0008012352585073551,0.015573282351859213,0.005
fc,59.10869867501432,6.721661110232445,61.02392118035394,47.307183532033136,66.51519662459741,45.0
wp,21.51109224858259,1.0246134326245921,21.712654109832876,19.545311857830523,22.840127953419938,18.0
p_scale,0.9846256396595693,0.28498569524830436,0.9991926402019387,0.4827086141244567,1.4523800291907587,1.0
sigma,2.2359516273356386,0.08479197863669986,2.2349377790309535,2.109314108149457,2.380971035675529,3.0
kc_ini_scale__mais,1.0,0.0,1.0,1.0,1.0,1.0
kc_mid_scale__mais,1.0,0.0,1.0,1.0,1.0,1.0
kc_end_scale__mais,1.0,0.0,1.0,1.0,1.0,1.0
