modello,n,MAE,RMSE,mean_epistemic_std,mean_aleatoric_std,mean_total_std,coverage_50,sharpness_50,coverage_90,sharpness_90
Penman calibrato (MH),316,1.6801965985320053,3.7907652781754666,0.0,2.235951627335638,2.235951627335638,0.7215189873417721,3.0162529091442742,0.9050632911392406,7.355626287822142
persistenza,316,1.6231101513443427,3.8484012789604747,,,,,,,
