modello,horizon,n,MAE,RMSE,mean_epistemic_std,mean_aleatoric_std,mean_total_std,coverage_50,sharpness_50,coverage_90,sharpness_90
Penman calibrato (MH),t+1,316,1.609129425887034,3.750306061207663,0.0,2.235951627335638,2.235951627335638,0.7468354430379747,3.0162529091442742,0.9113924050632911,7.355626287822142
persistenza,t+1,316,1.6239582244290232,3.847204216267931,,,,,,,
Penman calibrato (MH),t+2,316,2.7014000622601153,4.975121362232939,0.0,3.162113116188252,3.162113116188252,0.6645569620253164,4.265625771659137,0.8512658227848101,10.402426455986138
persistenza,t+2,316,2.7279105694114096,5.160057062719986,,,,,,,
Penman calibrato (MH),t+3,316,3.5747525516299135,5.842703552495183,0.0,3.8727818218116385,3.8727818218116385,0.6075949367088608,5.224303287115316,0.810126582278481,12.740318451997208
persistenza,t+3,316,3.5946319981300188,6.119418758383021,,,,,,,
Penman calibrato (MH),t+4,316,4.182403507906231,6.449141622733889,0.0,4.471903254671276,4.471903254671276,0.569620253164557,6.0325058182885485,0.8132911392405063,14.711252575644284
persistenza,t+4,316,4.184160912398565,6.749681252555669,,,,,,,
Penman calibrato (MH),t+5,316,4.577864916478146,6.795162747929331,0.0,4.999739833123766,4.999739833123766,0.5537974683544303,6.7445465421780995,0.8259493670886076,16.447680396654743
persistenza,t+5,316,4.57211274062312,7.1319944701729785,,,,,,,
Penman calibrato (MH),t+6,316,5.07364824229263,7.4609815508194615,0.0,5.476940576518002,5.476940576518002,0.5569620253164557,7.38828056258882,0.7974683544303798,18.017531143766643
persistenza,t+6,316,5.149265944549061,7.870420840628121,,,,,,,
Penman calibrato (MH),t+7,316,5.599346106120457,7.985943393174101,0.0,5.91577194950027,5.91577194950027,0.5284810126582279,7.980255088870849,0.810126582278481,19.461157894706602
persistenza,t+7,316,5.775451427336723,8.453867671583637,,,,,,,
