model,feature_set,n_features,val_NLL,params
MLP-Gaussian-MCDropout-Warmup-Optuna,ACQUA,50,0.1075,"{""batch_size"": 16, ""dropout"": 0.1565301332499308, ""event_weight"": 2.4698708737132273, ""hidden"": [64, 32], ""lr"": 0.004415739792458303, ""warmup"": {""epoca_migliore_fase1"": 13, ""epoca_migliore_fase2"": 56, ""epoche_fase1"": 43, ""epoche_fase2"": 86, ""val_mse_passaggio"": 0.46383, ""val_nll_finale"": 0.10747, ""val_nll_inizio_fase2"": 0.13632}}"
MLP-Gaussian-MCDropout-Warmup-Optuna,TERRA,9,-1.0194,"{""batch_size"": 32, ""dropout"": 0.06561115233798508, ""event_weight"": 1.9315467634038865, ""hidden"": [128, 64, 32], ""lr"": 0.000581795579268167, ""warmup"": {""epoca_migliore_fase1"": 20, ""epoca_migliore_fase2"": 231, ""epoche_fase1"": 50, ""epoche_fase2"": 261, ""val_mse_passaggio"": 0.07416, ""val_nll_finale"": -1.01936, ""val_nll_inizio_fase2"": -0.76235}}"
MLP-Gaussian-MCDropout-Warmup-Optuna,METEO,135,0.0448,"{""batch_size"": 16, ""dropout"": 0.33430207754191077, ""event_weight"": 8.668909733291752, ""hidden"": [32, 32], ""lr"": 0.00197382814704619, ""warmup"": {""epoca_migliore_fase1"": 69, ""epoca_migliore_fase2"": 1, ""epoche_fase1"": 99, ""epoche_fase2"": 31, ""val_mse_passaggio"": 0.42434, ""val_nll_finale"": 0.04479, ""val_nll_inizio_fase2"": 0.07154}}"
MLP-Gaussian-MCDropout-Warmup-Optuna,TERRA_ACQUA,59,-1.1108,"{""batch_size"": 32, ""dropout"": 0.07706061190642789, ""event_weight"": 1.9730177729347518, ""hidden"": [32], ""lr"": 0.0036678394938286446, ""warmup"": {""epoca_migliore_fase1"": 16, ""epoca_migliore_fase2"": 161, ""epoche_fase1"": 46, ""epoche_fase2"": 191, ""val_mse_passaggio"": 0.07116, ""val_nll_finale"": -1.11083, ""val_nll_inizio_fase2"": -0.80352}}"
MLP-Gaussian-MCDropout-Warmup-Optuna,TERRA_METEO,144,-0.8708,"{""batch_size"": 128, ""dropout"": 0.06143235690552395, ""event_weight"": 4.519913334349912, ""hidden"": [32], ""lr"": 0.0021787899144839386, ""warmup"": {""epoca_migliore_fase1"": 68, ""epoca_migliore_fase2"": 74, ""epoche_fase1"": 98, ""epoche_fase2"": 104, ""val_mse_passaggio"": 0.09437, ""val_nll_finale"": -0.87078, ""val_nll_inizio_fase2"": -0.72705}}"
MLP-Gaussian-MCDropout-Warmup-Optuna,ACQUA_METEO,185,0.0402,"{""batch_size"": 32, ""dropout"": 0.10597170697257059, ""event_weight"": 9.063390656951137, ""hidden"": [256, 128, 64, 32], ""lr"": 0.004082099869179216, ""warmup"": {""epoca_migliore_fase1"": 19, ""epoca_migliore_fase2"": 51, ""epoche_fase1"": 49, ""epoche_fase2"": 81, ""val_mse_passaggio"": 0.42927, ""val_nll_finale"": 0.04024, ""val_nll_inizio_fase2"": 0.07712}}"
MLP-Gaussian-MCDropout-Warmup-Optuna,TOTALE,215,-0.8993,"{""batch_size"": 64, ""dropout"": 0.10952271659792645, ""event_weight"": 2.4272612054531892, ""hidden"": [32], ""lr"": 0.004374425239818038, ""warmup"": {""epoca_migliore_fase1"": 16, ""epoca_migliore_fase2"": 43, ""epoche_fase1"": 46, ""epoche_fase2"": 73, ""val_mse_passaggio"": 0.0844, ""val_nll_finale"": -0.89925, ""val_nll_inizio_fase2"": -0.76361}}"
