model,feature_set,horizon,split,MAE,RMSE,R2,r,Bias,MAPE,sMAPE,WAPE,nMAE,nRMSE,range_y,n,pinball_loss,coverage_50,sharpness_50,coverage_90,sharpness_90
MLP-QuantileRegression-Residual-Optuna,ACQUA_METEO,t+7,test,5.4946,7.9185,0.6248,0.7971,-1.2119,12.34,11.99,11.62,0.09,0.1297,61.0471,144,1.876,0.5556,8.2786,0.8681,25.6276
MLP-QuantileRegression-Residual-Optuna,ACQUA_METEO,ALL,test,3.654,6.1715,0.7685,0.8786,-0.5338,7.67,7.63,7.63,0.0577,0.0974,63.3612,1008,1.331,0.5744,5.0583,0.8542,17.1585
MLP-QuantileRegression-Residual-Optuna,TOTALE,t+1,train,1.4809,3.6145,0.9559,0.9778,-0.1598,3.17,3.23,2.91,0.0185,0.0451,80.2128,1108,0.5455,0.5325,1.6358,0.8745,5.8926
MLP-QuantileRegression-Residual-Optuna,TOTALE,t+2,train,2.4181,4.9314,0.9176,0.9581,-0.1908,5.15,5.21,4.76,0.0301,0.0615,80.2128,1108,0.849,0.4621,2.6532,0.8619,8.8886
MLP-QuantileRegression-Residual-Optuna,TOTALE,t+3,train,3.1352,5.6082,0.8927,0.945,-0.2856,6.71,6.71,6.18,0.0391,0.0699,80.2128,1108,1.0578,0.4368,3.4703,0.8502,10.7578
MLP-QuantileRegression-Residual-Optuna,TOTALE,t+4,train,3.7331,6.2878,0.8645,0.9302,-0.4589,8.01,8.0,7.38,0.0465,0.0784,80.2128,1108,1.2468,0.4143,4.0316,0.8303,12.0682
MLP-QuantileRegression-Residual-Optuna,TOTALE,t+5,train,4.1939,6.7537,0.8431,0.9185,-0.324,9.15,9.03,8.31,0.0523,0.0842,80.2128,1108,1.3966,0.4161,4.6892,0.8141,13.0252
MLP-QuantileRegression-Residual-Optuna,TOTALE,t+6,train,4.6476,7.3248,0.8149,0.9031,-0.1451,10.3,10.06,9.23,0.0579,0.0913,80.2128,1108,1.5457,0.4251,5.5344,0.8466,15.0187
MLP-QuantileRegression-Residual-Optuna,TOTALE,t+7,train,5.0996,7.8512,0.7867,0.8875,-0.2806,11.36,11.06,10.15,0.0636,0.0979,80.2128,1108,1.6908,0.4549,6.1827,0.8502,17.0822
MLP-QuantileRegression-Residual-Optuna,TOTALE,ALL,train,3.5297,6.2023,0.8684,0.9321,-0.2635,7.69,7.61,6.98,0.044,0.0773,80.2128,7756,1.1903,0.4488,4.0282,0.8468,11.819
MLP-QuantileRegression-Residual-Optuna,TOTALE,t+1,val,1.1071,2.6671,0.9574,0.9785,-0.1468,2.2,2.26,2.22,0.0202,0.0488,54.7076,135,0.4165,0.4815,1.3833,0.9185,5.1993
MLP-QuantileRegression-Residual-Optuna,TOTALE,t+2,val,2.0274,3.7794,0.9135,0.9562,-0.3725,4.07,4.14,4.09,0.0367,0.0683,55.2959,135,0.7123,0.4296,2.339,0.8963,7.9453
MLP-QuantileRegression-Residual-Optuna,TOTALE,t+3,val,2.5605,3.9264,0.9058,0.9523,-0.4046,5.43,5.4,5.23,0.0487,0.0746,52.6303,135,0.8618,0.4296,3.0581,0.8815,9.8474
MLP-QuantileRegression-Residual-Optuna,TOTALE,t+4,val,2.8515,4.1318,0.8945,0.9465,-0.3999,6.1,6.0,5.89,0.0562,0.0814,50.782,135,0.9731,0.4741,3.9054,0.8667,11.4314
MLP-QuantileRegression-Residual-Optuna,TOTALE,t+5,val,3.1927,4.4907,0.8744,0.9355,-0.2199,6.99,6.81,6.66,0.0624,0.0878,51.1448,135,1.0708,0.4889,4.5876,0.8667,12.9667
MLP-QuantileRegression-Residual-Optuna,TOTALE,t+6,val,3.5696,4.9664,0.845,0.9193,-0.065,7.76,7.53,7.48,0.0705,0.0981,50.6437,135,1.1933,0.4963,5.4545,0.8593,14.5241
MLP-QuantileRegression-Residual-Optuna,TOTALE,t+7,val,4.1042,5.8471,0.7916,0.8902,-0.3479,8.69,8.5,8.6,0.0783,0.1116,52.3881,135,1.3557,0.4963,6.0934,0.8963,16.5327
MLP-QuantileRegression-Residual-Optuna,TOTALE,ALL,val,2.7733,4.3574,0.884,0.9405,-0.2795,5.89,5.81,5.71,0.05,0.0785,55.5171,945,0.9405,0.4709,3.8316,0.8836,11.2067
MLP-QuantileRegression-Residual-Optuna,TOTALE,t+1,test,1.6779,3.9436,0.9101,0.9545,-0.2457,3.15,3.28,3.46,0.032,0.0752,52.4191,144,0.6955,0.4722,1.6391,0.8264,6.2016
MLP-QuantileRegression-Residual-Optuna,TOTALE,t+2,test,2.6896,5.0874,0.8452,0.9211,-0.3523,5.2,5.33,5.58,0.0513,0.097,52.4615,144,1.0823,0.4722,2.7824,0.8264,9.4534
MLP-QuantileRegression-Residual-Optuna,TOTALE,t+3,test,3.4951,5.8373,0.7901,0.8916,-0.4206,7.04,7.13,7.29,0.0666,0.1113,52.4615,144,1.3557,0.4375,3.7454,0.8125,11.5252
MLP-QuantileRegression-Residual-Optuna,TOTALE,t+4,test,3.8914,6.3201,0.7501,0.8706,-0.6412,7.99,8.02,8.16,0.0742,0.1205,52.4615,144,1.4842,0.4722,4.5412,0.7986,13.1808
MLP-QuantileRegression-Residual-Optuna,TOTALE,t+5,test,4.2869,6.5278,0.7328,0.8607,-0.7188,9.0,8.97,9.0,0.0817,0.1244,52.4615,144,1.558,0.4583,5.2212,0.8194,14.5549
MLP-QuantileRegression-Residual-Optuna,TOTALE,t+6,test,4.7211,7.1602,0.6829,0.8328,-0.7572,9.96,9.88,9.9,0.09,0.1365,52.4615,144,1.6926,0.5347,6.0668,0.8056,16.4157
MLP-QuantileRegression-Residual-Optuna,TOTALE,t+7,test,5.637,8.0311,0.614,0.791,-0.6511,12.74,12.28,11.92,0.0923,0.1316,61.0471,144,1.9983,0.4583,6.8184,0.7569,18.4621
MLP-QuantileRegression-Residual-Optuna,TOTALE,ALL,test,3.7713,6.2545,0.7622,0.8765,-0.541,7.87,7.84,7.88,0.0595,0.0987,63.3612,1008,1.4095,0.4722,4.4021,0.8065,12.8277
