model,feature_set,horizon,split,MAE,RMSE,R2,r,Bias,MAPE,sMAPE,WAPE,nMAE,nRMSE,range_y,n,pinball_loss,coverage_50,sharpness_50,coverage_90,sharpness_90
MLP-QuantileRegression-Optuna,TOTALE,t+4,val,3.0698,4.066,0.8979,0.9489,-0.6324,6.79,6.73,6.35,0.0605,0.0801,50.782,135,0.9785,0.5407,5.7309,0.9037,13.0838
MLP-QuantileRegression-Optuna,TOTALE,t+5,val,3.4405,4.379,0.8806,0.9404,-0.7416,7.62,7.54,7.18,0.0673,0.0856,51.1448,135,1.071,0.4741,6.0818,0.9037,14.6178
MLP-QuantileRegression-Optuna,TOTALE,t+6,val,4.0216,5.0531,0.8395,0.92,-1.0363,8.91,8.88,8.42,0.0794,0.0998,50.6437,135,1.2379,0.4593,6.4242,0.8593,15.515
MLP-QuantileRegression-Optuna,TOTALE,t+7,val,4.4769,5.7692,0.7971,0.8985,-1.2597,9.77,9.74,9.39,0.0855,0.1101,52.3881,135,1.3896,0.4667,7.2023,0.8815,17.353
MLP-QuantileRegression-Optuna,TOTALE,ALL,val,3.126,4.3531,0.8843,0.9419,-0.688,6.88,6.86,6.43,0.0563,0.0784,55.5171,945,1.0079,0.5503,5.4916,0.9016,13.3264
MLP-QuantileRegression-Optuna,TOTALE,t+1,test,2.6257,4.5693,0.8793,0.9396,-0.6415,5.44,5.62,5.41,0.0501,0.0872,52.4191,144,0.929,0.5625,4.0265,0.875,10.6403
MLP-QuantileRegression-Optuna,TOTALE,t+2,test,3.3776,5.3459,0.8291,0.9136,-0.5001,7.0,7.19,7.0,0.0644,0.1019,52.4615,144,1.1985,0.5139,4.7141,0.8194,12.312
MLP-QuantileRegression-Optuna,TOTALE,t+3,test,3.9786,5.7443,0.7967,0.8953,-0.4815,8.3,8.4,8.29,0.0758,0.1095,52.4615,144,1.3771,0.4722,5.4363,0.7778,13.8565
MLP-QuantileRegression-Optuna,TOTALE,t+4,test,4.3789,6.0641,0.7699,0.881,-0.7334,9.22,9.28,9.18,0.0835,0.1156,52.4615,144,1.4706,0.4514,6.1743,0.7847,14.8882
MLP-QuantileRegression-Optuna,TOTALE,t+5,test,4.7494,6.3506,0.7471,0.8689,-1.0119,10.05,10.16,9.97,0.0905,0.1211,52.4615,144,1.5785,0.4444,6.5658,0.7778,16.469
MLP-QuantileRegression-Optuna,TOTALE,t+6,test,5.254,7.0095,0.6961,0.8403,-1.1618,11.17,11.25,11.02,0.1001,0.1336,52.4615,144,1.7347,0.4444,6.8188,0.8056,17.0899
MLP-QuantileRegression-Optuna,TOTALE,t+7,test,5.9575,7.6833,0.6467,0.8079,-0.8589,13.45,13.1,12.6,0.0976,0.1259,61.0471,144,1.9517,0.4028,7.4738,0.7778,18.6918
MLP-QuantileRegression-Optuna,TOTALE,ALL,test,4.3317,6.1844,0.7675,0.8794,-0.7699,9.23,9.28,9.05,0.0684,0.0976,63.3612,1008,1.4629,0.4702,5.8871,0.8026,14.8497
