model,feature_set,horizon,split,event_weight,n,MAE,RMSE,R2,ev_n,ev_MAE,dc_n,dc_MAE
MLP,ACQUA,t+2,train,5.617150620576519,1108,12.7819,15.4828,0.1873,331,11.5891,777,13.29
MLP,ACQUA,t+3,train,5.617150620576519,1108,12.7467,15.4124,0.1898,331,11.1069,777,13.4453
MLP,ACQUA,t+4,train,5.617150620576519,1108,12.5394,15.2669,0.201,331,10.9331,777,13.2237
MLP,ACQUA,t+5,train,5.617150620576519,1108,12.5514,15.1588,0.2096,331,10.934,777,13.2403
MLP,ACQUA,t+6,train,5.617150620576519,1108,12.4976,15.1618,0.2071,331,10.8457,777,13.2012
MLP,ACQUA,t+7,train,5.617150620576519,1108,12.5119,15.1479,0.206,331,11.011,777,13.1512
MLP,ACQUA,ALL,train,5.617150620576519,7756,12.6257,15.3045,0.1988,2317,11.1642,5439,13.2484
MLP,ACQUA,t+1,val,5.617150620576519,135,9.9028,11.8631,0.1568,37,8.489,98,10.4366
MLP,ACQUA,t+2,val,5.617150620576519,135,9.9034,11.8933,0.1432,37,8.3331,98,10.4963
MLP,ACQUA,t+3,val,5.617150620576519,135,10.0894,11.9529,0.1275,37,8.5275,98,10.6792
MLP,ACQUA,t+4,val,5.617150620576519,135,10.2057,12.0627,0.1011,37,8.9128,98,10.6939
MLP,ACQUA,t+5,val,5.617150620576519,135,10.2336,11.967,0.1084,37,9.0477,98,10.6814
MLP,ACQUA,t+6,val,5.617150620576519,135,10.4906,12.2132,0.0625,37,9.3864,98,10.9074
MLP,ACQUA,t+7,val,5.617150620576519,135,10.7075,12.4178,0.0601,37,9.4841,98,11.1695
MLP,ACQUA,ALL,val,5.617150620576519,945,10.219,12.0543,0.1126,259,8.8829,686,10.7235
MLP,ACQUA,t+1,test,5.617150620576519,144,10.9728,13.0787,0.0113,35,12.514,109,10.478
MLP,ACQUA,t+2,test,5.617150620576519,144,10.7931,12.9152,0.0025,35,11.8302,109,10.4601
MLP,ACQUA,t+3,test,5.617150620576519,144,10.473,12.532,0.0325,35,10.9098,109,10.3328
MLP,ACQUA,t+4,test,5.617150620576519,144,10.5234,12.6303,0.0018,35,11.0735,109,10.3467
MLP,ACQUA,t+5,test,5.617150620576519,144,10.4219,12.3509,0.0435,35,11.4597,109,10.0886
MLP,ACQUA,t+6,test,5.617150620576519,144,10.6043,12.8088,-0.0149,35,10.9742,109,10.4856
MLP,ACQUA,t+7,test,5.617150620576519,144,10.6103,12.9426,-0.0025,35,11.5171,109,10.3191
MLP,ACQUA,ALL,test,5.617150620576519,1008,10.6284,12.7534,0.0114,245,11.4684,763,10.3587
